alias,name,dept
A. Baskar,A. Baskar,BITS Pilani-Goa
Abhiram G. Ranade,Abhiram G. Ranade,IIT Bombay
Abhiram Ranade,Abhiram G. Ranade,IIT Bombay
Abhishek Mishra,Abhishek Mishra,BITS Pilani
Abhishek Sinha,Abhishek Sinha,Tata Inst. of Fundamental Research
Abir De,Abir De,IIT Bombay
Aditya Challa,Aditya Challa,BITS Pilani-Goa
Aditya Kanade,Aditya Kanade,IISc Bangalore
Ambedkar Dukkipati,Aditya Kanade,IISc Bangalore
Chiranjib Bhattacharyya,Aditya Kanade,IISc Bangalore
Chiru Bhattacharyya,Aditya Kanade,IISc Bangalore
K. Gopinath,Aditya Kanade,IISc Bangalore
Kanchi Gopinath,Aditya Kanade,IISc Bangalore
Matthew J. Thazhuthaveetil,Aditya Kanade,IISc Bangalore
Matthew Thazhuthaveetil,Aditya Kanade,IISc Bangalore
V. Susheela Devi,Aditya Kanade,IISc Bangalore
Y. Narahari,Aditya Kanade,IISc Bangalore
Y.N. Srikant,Aditya Kanade,IISc Bangalore
Yadati Narahari,Aditya Kanade,IISc Bangalore
Aiswarya Cyriac,Aiswarya Cyriac,CMI
C. Aiswarya,Aiswarya Cyriac,CMI
Cyriac Aiswarya,Aiswarya Cyriac,CMI
Ajit A. Diwan,Ajit A. Diwan,IIT Bombay
Ajit Arvind Diwan,Ajit A. Diwan,IIT Bombay
Ajit Rajwade 0001,Ajit Rajwade 0001,IIT Bombay
Ajit V. Rajwade 0001,Ajit Rajwade 0001,IIT Bombay
Amit Chattopadhyay,Amit Chattopadhyay,IIIT Bangalore
Amit Dua,Amit Dua,BITS Pilani
Sundaresan Raman,Amit Dua,BITS Pilani
Vandana Agarwal,Amit Dua,BITS Pilani
Virendra Singh Shekhawat,Amit Dua,BITS Pilani
Amitabha Sanyal,Amitabha Sanyal,IIT Bombay
Ashutosh Gupta 0001,Amitabha Sanyal,IIT Bombay
Ashutosh Kumar Gupta 0001,Amitabha Sanyal,IIT Bombay
Bernard L. Menezes,Amitabha Sanyal,IIT Bombay
Bernard Menezes,Amitabha Sanyal,IIT Bombay
Deepak B. Phatak,Amitabha Sanyal,IIT Bombay
Dhananjay M. Dhamdhere,Amitabha Sanyal,IIT Bombay
Nandlal L. Sarda,Amitabha Sanyal,IIT Bombay
Swaprava Nath,Amitabha Sanyal,IIT Bombay
Anand Louis,Anand Louis,IISc Bangalore
Anisur Rahaman Molla,Anisur Rahaman Molla,ISI Kolkata
