name,affiliation,homepage,scholarid
A. Antony Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ
A. Baskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,mNpOTuEAAAAJ
A. V. Sreejith,IIT Goa,https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ
A. V. Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ
Aaditeshwar Seth,IIT Delhi,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ
Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ
Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ
Abhinav Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ
Abhiram G. Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ
Abhiram Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ
Abhishek Bichhawat,IIT Gandhinagar,https://iitgn.ac.in/faculty/cse/abhishek,qJavKW4AAAAJ
Abhishek Mishra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,Ayz2rOwAAAAJ
Abhishek Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ
Abhishek Sinha,Tata Inst. of Fundamental Research,https://abhishek-sinha-tifr.github.io,Oc7BRX0AAAAJ
Abhishek Srivastava,IIT Indore,http://cse.iiti.ac.in/faculty.html,8DUQgIIAAAAJ
Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ
Abir De,IIT Bombay,https://abir-de.github.io,9ZKKbIAAAAJ
Abyayananda Maiti,IIT Patna,https://iitp.ac.in/index.php/departments/computer-center/people/head/1095-dr-abyayananda-maiti.html,N49XT94AAAAJ
Aditya Challa,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/adityac/Profile,_XkD5AkAAAAJ
Aditya Kanade,IISc Bangalore,http://www.csa.iisc.ac.in/~kanade,NOSCHOLARPAGE
Aditya Nigam,IIT Mandi,http://faculty.iitmandi.ac.in/~aditya,ffSpknUAAAAJ
Aditya Tatu,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,f0nqLS8AAAAJ
Aiswarya Cyriac,CMI,http://www.cmi.ac.in/~aiswarya,NLwqvCwAAAAJ
Ajai Jain,IIT Kanpur,http://www.iitk.ac.in/new/dr-ajai-jain,y7TbKJMAAAAJ
Ajit A. Diwan,IIT Bombay,https://www.cse.iitb.ac.in/~aad,XpPk_GwAAAAJ
Ajit Arvind Diwan,IIT Bombay,https://www.cse.iitb.ac.in/~aad,XpPk_GwAAAAJ
Ajit Rajwade 0001,IIT Bombay,https://www.cse.iitb.ac.in/~ajitvr,CkTW7PwAAAAJ
Ajit V. Rajwade 0001,IIT Bombay,https://www.cse.iitb.ac.in/~ajitvr,CkTW7PwAAAAJ
Amaldev Manuel,IIT Goa,https://www.iitgoa.ac.in/~amal,Lb4wzNYAAAAJ
Aman Parnami,IIIT Delhi,https://www.iiitd.ac.in/aman,PI30hN8AAAAJ
Amarjeet Singh 0001,IIIT Delhi,https://www.iiitd.ac.in/amarjeet,cZhWKd0AAAAJ
Ambedkar Dukkipati,IISc Bangalore,http://www.csa.iisc.ac.in/~ad,NOSCHOLARPAGE
Amey Karkare,IIT Kanpur,http://www.cse.iitk.ac.in/users/karkare,WPLq_rQAAAAJ
Amit Awekar,IIT Guwahati,https://www.iitg.ernet.in/awekar,xl5njIIAAAAJ
Amit Banerjee,South Asian University,http://sau.int/faculty/faculty-profile.html?staff_id=2,LORErKcAAAAJ
Amit Chattopadhyay,IIIT Bangalore,http://amitchattopadhyay.weebly.com,sooauB0AAAAJ
Amit Dua,BITS Pilani,http://www.bits-pilani.ac.in/pilani/amitdua/profile,NOSCHOLARPAGE
Amit Kumar 0001,IIT Delhi,http://www.cse.iitd.ernet.in/~amitk,btq_vjcAAAAJ
Amit Sengupta,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,NOSCHOLARPAGE
Amitabha Bagchi,IIT Delhi,http://www.cse.iitd.ernet.in/~bagchi,U4g_OxEAAAAJ
Amitabha Mukerjee,IIT Kanpur,http://www.cse.iitk.ac.in/users/amit,6lD1AscAAAAJ
Amitabha Sanyal,IIT Bombay,https://www.cse.iitb.ac.in/~as,NOSCHOLARPAGE
Amrita Chaturvedi,IIT (BHU) Varanasi,http://www.iitbhu.ac.in/cse/index.php/people/faculty.html,zoVJnasAAAAJ
Anand Louis,IISc Bangalore,http://www.csa.iisc.ac.in/~anand,PedG3PYAAAAJ
Anand Mishra 0001,IIT Jodhpur,https://anandmishra22.github.io,vhUg2zIAAAAJ
Angshul Majumdar,IIIT Delhi,https://www.iiitd.ac.in/angshul,nwNIkAUAAAAJ
Angshuman Paul,IIT Jodhpur,https://sites.google.com/view/angshumanpaul/home,uPdXm3gAAAAJ
Anil Kumar Sao,IIT Mandi,http://faculty.iitmandi.ac.in/~anil,4ya5wyQAAAAJ
Anil Kumar Singh,IIT (BHU) Varanasi,http://www.iitbhu.ac.in/cse/index.php/people/faculty/37.html,2IaFZuMAAAAJ
Anil Kumar Tripathi,IIT (BHU) Varanasi,http://www.iitbhu.ac.in/cse/index.php/people/faculty/34.html,MeBbV48AAAAJ
Anil Kumar Vuppala,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/anilvuppala,VEx1PN4AAAAJ
Anil Seth,IIT Kanpur,https://www.cse.iitk.ac.in/users/seth,NOSCHOLARPAGE
Anil Shukla,IIT Jodhpur,https://en-gb.facebook.com/anil.shukla.589583,Y8SLE9sAAAAJ
Anil Vuppala,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/anilvuppala,VEx1PN4AAAAJ
Animesh Mukherjee 0001,IIT Kharagpur,https://cse.iitkgp.ac.in/~animeshm,lf7-deEAAAAJ
Anirban Dasgupta 0001,IIT Gandhinagar,http://www.iitgn.ac.in/faculty/comp/anirban.htm,plJC8R0AAAAJ
Anirban Sengupta,IIT Indore,http://www.iiti.ac.in/~asengupt,4aHf5O8AAAAJ
Anish Kumar Saha,National Institute of Technology Silchar,http://cs.nits.ac.in/anish,kEqWx-kAAAAJ
Anish Mathuria,DAIICT,http://intranet.daiict.ac.in/~anish_mathuria,l3CE25YAAAAJ
Anisur Rahaman Molla,ISI Kolkata,https://sites.google.com/site/mollaanisurrahaman,JSIMGn0AAAAJ
Anoop M. Namboodiri,IIIT Hyderabad,http://iiit.ac.in/~anoop,mpI3sbYAAAAJ
Anshul Kumar,IIT Delhi,http://www.cse.iitd.ernet.in/~anshul,NOSCHOLARPAGE
Ansuman Banerjee,ISI Kolkata,https://www.isical.ac.in/~ansuman,rGFo1TQAAAAJ
Anubha Gupta,IIIT Delhi,http://faculty.iiitd.ac.in/~anubha,VWCf3JEAAAAJ
Anup Bhattacharya,NISER,https://sites.google.com/site/anupbtcs,giCNz6AAAAAJ
Anup Kumar Bhattacharya,NISER,https://sites.google.com/site/anupbtcs,giCNz6AAAAAJ
Anupam Basu,IIT Kharagpur,http://cse.iitkgp.ac.in/~debmalya/AB_website,AMidPUMAAAAJ
Anupam Biswas,National Institute of Technology Silchar,http://cs.nits.ac.in/anupam,DoAQkCgAAAAJ
Anurag Mittal,IIT Madras,http://www.cse.iitm.ac.in/~amittal,mB9AZSAAAAAJ
Apurva Mudgal,IIT Ropar,http://www.iitrpr.ac.in/cse/apurva,NOSCHOLARPAGE
Arani Bhattacharya,IIIT Delhi,https://www.iiitd.ac.in/arani,YjiIDkjozUcC
Arijit Bishnu,ISI Kolkata,https://www.isical.ac.in/~arijit,NOSCHOLARPAGE
Arijit Ghosh,ISI Kolkata,https://sites.google.com/site/homepagearijitghosh,BYbws8cAAAAJ
Arijit Mondal,IIT Patna,https://iitp.ac.in/index.php/departments/engineering/computer-science-a-engineering/people/faculty/584-arijit-mondal.html,97ryAF0AAAAJ
Arijit Sur,IIT Guwahati,http://www.iitg.ernet.in/arijit,NOSCHOLARPAGE
Arindam Khan 0001,IISc Bangalore,http://drona.csa.iisc.ac.in/~arindam,yRsbV0AAAAAJ
Aritra Banik,NISER,https://www.niser.ac.in/~aritra,dWBbCwIAAAAJ
Aritra Hazra,IIT Kharagpur,https://cse.iitkgp.ac.in/~aritrah,nYazw20AAAAJ
Arkadev Chattopadhyay,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~arkadev,CHn1c0IAAAAJ
Arkaprava Basu,IISc Bangalore,http://drona.csa.iisc.ac.in/~arkapravab,pL5B4ywAAAAJ
Arnab Bhattacharya 0001,IIT Kanpur,https://www.cse.iitk.ac.in/users/arnabb,Sk-JV9QAAAAJ
Arnab K. Paul,BITS Pilani-Goa,https://arnabkrpaul.github.io,az8MAG0AAAAJ
Arnab Kumar Paul,BITS Pilani-Goa,https://arnabkrpaul.github.io,az8MAG0AAAAJ
Arnab Sarkar,IIT Guwahati,https://www.iitg.ernet.in/arnabsarkar,aElWxu8AAAAJ
Arobinda Gupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~agupta,NOSCHOLARPAGE
Aroor Dinesh Dileep,IIT Mandi,http://faculty.iitmandi.ac.in/~addileep,NOSCHOLARPAGE
Arpita Korwar,IIT Goa,https://www.iitgoa.ac.in/~arpita,qTE4OdYAAAAJ
Arpita Patra,IISc Bangalore,http://www.csa.iisc.ac.in/~arpita,RG6kKh8AAAAJ
Arun Balaji Buduru,IIIT Delhi,http://www.iiitd.ac.in/arunb,sSZczN4AAAAJ
Arun Chauhan 0002,BITS Pilani,http://www.bits-pilani.ac.in/pilani/arunchauhan/profile,noo17fcAAAAJ
Arun Rajkumar,IIT Madras,https://sites.google.com/view/arun-rajkumar,gytfaaoAAAAJ
Aruna Tiwari,IIT Indore,http://www.iiti.ac.in/~artiwari,Ja575P0AAAAJ
Aryabartta Sahu,IIT Guwahati,https://www.iitg.ernet.in/asahu,apzckLUAAAAJ
Ashish Anand,IIT Guwahati,http://www.iitg.ernet.in/anand.ashish,W7nidBQAAAAJ
Ashish Choudhary,IIIT Bangalore,https://sites.google.com/site/ashishcrypto,ZYQXnKsAAAAJ
Ashish Choudhury,IIIT Bangalore,https://sites.google.com/site/ashishcrypto,ZYQXnKsAAAAJ
Ashish Ghosh,ISI Kolkata,https://www.isical.ac.in/~ash,JzwlRtAAAAAJ
Ashok Kumar Das,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ashokkdas,bToAUHMAAAAJ
Ashok Singh Sairam,IIT Patna,https://iitp.ac.in/index.php/departments/engineering/computer-science-a-engineering/people/faculty/dr-ashok-singh-sairam.html,NOSCHOLARPAGE
Ashutosh Bhatia,BITS Pilani,http://www.bits-pilani.ac.in/pilani/ashutoshbhatia/profile,JU258EQAAAAJ
Ashutosh Gupta 0001,IIT Bombay,https://www.cse.iitb.ac.in/~akg,NOSCHOLARPAGE
Ashutosh Kumar Gupta 0001,IIT Bombay,https://www.cse.iitb.ac.in/~akg,NOSCHOLARPAGE
Ashutosh Modi,IIT Kanpur,https://ashutosh-modi.github.io,AWu6f60AAAAJ
Ashwin Srinivasan 0001,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/ashwin/Profile,zpNTeogAAAAJ
Asif Ekbal,IIT Patna,http://iitp.ac.in/~asif,IAL_F04AAAAJ
Asim Banerjee,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,NOSCHOLARPAGE
Avinash Gautam,BITS Pilani,http://universe.bits-pilani.ac.in/pilani/avinash/profile,V6-4CfQAAAAJ
Avinash Sharma 0001,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/asharma,O_94NWYAAAAJ
Ayan Chaudhury,IIT Kharagpur,https://cse.iitkgp.ac.in/~ayanc,jv9PrfgAAAAJ
Ayon Chakraborty,IIT Madras,https://www.cse.iitm.ac.in/~ayon,xKrkM1EAAAAJ
B. B. Amberker,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16334,Nf686AUAAAAJ
