field,subfield,conference
ai,ai,aaai
ai,ai,ijcai
ai,cv,cvpr
ai,cv,eccv
ai,cv,iccv
ai,ml,iclr
ai,ml,icml
ai,ml,kdd
ai,ml,nips
ai,nlp,acl
ai,nlp,emnlp
ai,nlp,naacl
ai,web,sigir
ai,web,www
inter,bio,ismb
inter,bio,recomb
inter,ecocomp,ec
inter,ecocomp,wine
inter,edu,sigcse
inter,graphics,eurographics
inter,graphics,siggraph
inter,graphics,siggraph-asia
inter,hci,chiconf
inter,hci,ubicomp
inter,hci,uist
inter,robotics,icra
inter,robotics,iros
inter,robotics,rss
inter,visualisation,vis
inter,visualisation,vr
systems,arch,asplos
systems,arch,hpca
systems,arch,isca
systems,arch,micro
systems,db,icde
systems,db,pods
systems,db,sigmod
systems,db,vldb
systems,eda,dac
systems,eda,iccad
systems,embedded,emsoft
systems,embedded,rtas
systems,embedded,rtss
systems,hpc,hpdc
systems,hpc,ics
systems,hpc,sc
systems,measurement,imc
systems,measurement,sigmetrics
systems,mobile,mobicom
systems,mobile,mobisys
systems,mobile,sensys
systems,networks,nsdi
systems,networks,sigcomm
systems,os,eurosys
systems,os,fast
systems,os,osdi
systems,os,sosp
systems,os,usenixatc
systems,proglang,icfp
systems,proglang,oopsla
systems,proglang,pldi
systems,proglang,popl
systems,security,ccs 
systems,security,ndss
systems,security,oakland
systems,security,pets
systems,security,usenixsec
systems,software,ase
systems,software,fse
systems,software,icse
systems,software,issta
theory,algo,focs
theory,algo,soda
theory,algo,stoc
theory,crypto,crypto
theory,crypto,eurocrypt
theory,logic,cav
theory,logic,lics
ai,ml,tnnls
inter,robotics,trob
systems,security,tifs
systems,mobile,tmc
systems,networks,tcns
systems,hpc,tpds
systems,software,tse
systems,networks,tnsm
systems,networks,tgc
systems,networks,tnse
ai,ai,tai
systems,networks,tsipn
inter,hci,tcss
systems,security,tdsc
inter,hci,taffc
systems,hpc,podc
ai,ml,colt
systems,networks,infocom
ai,web,icdm
inter,hci,percom
ai,ai,aamas
