name,dept,area,count,adjustedcount,year
Ansuman Banerjee,ISI Kolkata,DAC,1,0.0,2006
Sumit K. Mandal,IISc Bangalore,DAC,1,0.0,2020
Goutam Paul 0001,ISI Kolkata,DAC,1,1.0,2013
Susmita Sur-Kolay,ISI Kolkata,DAC,1,0.0,1992
Ansuman Banerjee,ISI Kolkata,DAC,1,0.0,2002
Srinath R. Naidu,IIIT Bangalore,DAC,1,0.0,2003
Krishna Shankara Narayanan,IIT Bombay,DAC,1,0.0,2015
Paritosh K. Pandya,Tata Inst. of Fundamental Research,DAC,1,0.0,2008
Supratik Chakraborty,IIT Bombay,DAC,1,0.0,2014
Sravan Danda,BITS Pilani-Goa,IGARSS,2,0.0,2016
Aditya Challa,BITS Pilani-Goa,IGARSS,2,0.0,2016
Aditya Challa,BITS Pilani-Goa,IGARSS,1,0.0,2018
Sravan Danda,BITS Pilani-Goa,IGARSS,1,0.0,2018
Ashish Ghosh,ISI Kolkata,IGARSS,1,0.0,2020
Sarbani Palit,ISI Kolkata,IGARSS,1,0.0,2023
Ashish Ghosh,ISI Kolkata,IGARSS,1,0.0,2003
Nikhil R. Pal,ISI Kolkata,IGARSS,1,0.0,2003
Aditya Challa,BITS Pilani-Goa,IGARSS,1,0.0,2017
Sravan Danda,BITS Pilani-Goa,IGARSS,1,0.0,2017
Varsha Apte,IIT Bombay,WCNC,1,0.0,2006
Hariharan Narayanan,Tata Inst. of Fundamental Research,WCNC,1,0.0,2013
Varsha Apte,IIT Bombay,WCNC,1,0.0,2009
Debabrata Das,IIIT Bangalore,WCNC,2,0.0,2018
Sasthi C. Ghosh 0001,ISI Kolkata,WCNC,1,0.0,2008
Debabrata Das,IIIT Bangalore,WCNC,1,0.0,2019
Kameswari Chebrolu,IIT Bombay,WCNC,1,0.0,2000
G. N. Srinivasa Prasanna,IIIT Bangalore,WCNC,1,0.0,2022
Debabrata Das,IIIT Bangalore,WCNC,1,0.0,2022
Debabrata Das,IIIT Bangalore,WCNC,1,0.0,2020
G. N. Srinivasa Prasanna,IIIT Bangalore,WCNC Workshops,1,0.0,2020
